Source,Target,Type,Id,Label,timeset,Weight
67,11,Directed,198,,,2
28,11,Directed,199,,,2
14,11,Directed,200,,,4
53,11,Directed,201,,,1
89,11,Directed,202,,,2
90,11,Directed,203,,,1
33,11,Directed,204,,,8
104,11,Directed,205,,,1
81,11,Directed,206,,,4
48,11,Directed,207,,,3
5,11,Directed,208,,,2
25,11,Directed,209,,,1
92,11,Directed,210,,,5
54,11,Directed,211,,,3
78,11,Directed,212,,,5
53,13,Directed,213,,,1
24,13,Directed,214,,,1
55,13,Directed,215,,,1
77,13,Directed,216,,,1
54,13,Directed,217,,,1
20,13,Directed,218,,,1
76,13,Directed,219,,,1
58,13,Directed,220,,,1
47,13,Directed,221,,,1
15,14,Directed,222,,,9
28,14,Directed,223,,,7
1,14,Directed,224,,,13
4,14,Directed,225,,,48
34,14,Directed,226,,,12
70,14,Directed,227,,,13
102,14,Directed,228,,,1
108,14,Directed,229,,,8
104,14,Directed,230,,,46
2,14,Directed,231,,,51
35,14,Directed,232,,,11
44,14,Directed,233,,,8
33,14,Directed,234,,,1
3,14,Directed,235,,,9
89,14,Directed,236,,,1
41,14,Directed,237,,,1
20,14,Directed,238,,,48
80,14,Directed,239,,,12
82,14,Directed,240,,,8
53,14,Directed,241,,,9
40,14,Directed,242,,,8
60,16,Directed,243,,,1
38,16,Directed,244,,,1
101,16,Directed,245,,,1
20,16,Directed,246,,,1
89,16,Directed,247,,,1
77,16,Directed,248,,,1
96,17,Directed,249,,,4
48,17,Directed,250,,,2
37,17,Directed,251,,,1
56,17,Directed,252,,,3
16,17,Directed,253,,,4
7,17,Directed,254,,,2
43,17,Directed,255,,,2
9,17,Directed,256,,,2
109,17,Directed,257,,,4
67,17,Directed,258,,,1
45,17,Directed,259,,,4
81,17,Directed,260,,,4
74,17,Directed,261,,,3
59,17,Directed,262,,,1
54,17,Directed,263,,,1
58,17,Directed,264,,,3
29,17,Directed,265,,,2
27,17,Directed,266,,,3
42,17,Directed,267,,,3
103,17,Directed,268,,,2
31,17,Directed,269,,,3
88,17,Directed,270,,,2
35,17,Directed,271,,,2
26,17,Directed,272,,,2
78,17,Directed,273,,,2
11,17,Directed,274,,,3
33,17,Directed,275,,,1
92,17,Directed,276,,,4
69,17,Directed,277,,,6
61,17,Directed,278,,,2
21,17,Directed,279,,,3
76,17,Directed,280,,,2
72,17,Directed,281,,,3
95,17,Directed,282,,,5
25,17,Directed,283,,,2
47,17,Directed,284,,,3
12,17,Directed,285,,,3
38,17,Directed,286,,,3
68,17,Directed,287,,,3
63,17,Directed,288,,,2
28,17,Directed,289,,,1
55,17,Directed,290,,,1
53,17,Directed,291,,,1
98,17,Directed,292,,,1
62,17,Directed,293,,,2
20,17,Directed,294,,,3
60,17,Directed,295,,,1
73,17,Directed,296,,,4
99,17,Directed,297,,,5
86,17,Directed,298,,,2
22,17,Directed,299,,,4
101,17,Directed,300,,,1
55,18,Directed,301,,,6
108,18,Directed,302,,,5
101,18,Directed,303,,,1
60,18,Directed,304,,,3
104,18,Directed,305,,,3
82,18,Directed,306,,,9
35,18,Directed,307,,,7
2,18,Directed,308,,,5
98,18,Directed,309,,,1
79,18,Directed,310,,,3
3,18,Directed,311,,,1
