Source,Target,Type,Id,Label,timeset,Weight
165,139,Directed,474,,,1
49,139,Directed,475,,,1
16,139,Directed,476,,,1
67,139,Directed,477,,,1
25,139,Directed,478,,,1
154,139,Directed,479,,,1
68,139,Directed,480,,,1
21,139,Directed,481,,,1
145,139,Directed,482,,,1
14,139,Directed,483,,,1
98,139,Directed,484,,,1
186,139,Directed,485,,,1
7,139,Directed,486,,,1
104,139,Directed,487,,,1
166,139,Directed,488,,,1
120,139,Directed,489,,,1
9,139,Directed,490,,,1
183,139,Directed,491,,,1
134,139,Directed,492,,,1
79,139,Directed,493,,,1
147,139,Directed,494,,,1
174,139,Directed,495,,,1
127,139,Directed,496,,,1
146,139,Directed,497,,,1
94,139,Directed,498,,,1
150,139,Directed,499,,,1
137,139,Directed,500,,,1
157,139,Directed,501,,,1
149,139,Directed,502,,,1
105,139,Directed,503,,,1
46,139,Directed,504,,,1
83,139,Directed,505,,,1
87,139,Directed,506,,,1
195,139,Directed,507,,,1
141,139,Directed,508,,,1
168,139,Directed,509,,,1
34,139,Directed,510,,,1
143,139,Directed,511,,,1
66,139,Directed,512,,,1
152,139,Directed,513,,,1
199,139,Directed,514,,,1
158,139,Directed,515,,,1
169,139,Directed,516,,,1
153,139,Directed,517,,,1
41,139,Directed,518,,,1
151,139,Directed,519,,,1
95,139,Directed,520,,,1
89,139,Directed,521,,,1
167,139,Directed,522,,,1
178,139,Directed,523,,,1
161,139,Directed,524,,,1
90,139,Directed,525,,,1
103,139,Directed,526,,,1
106,139,Directed,527,,,1
162,139,Directed,528,,,1
44,139,Directed,529,,,1
31,139,Directed,530,,,1
190,139,Directed,531,,,1
22,139,Directed,532,,,1
196,139,Directed,533,,,1
108,139,Directed,534,,,1
160,139,Directed,535,,,1
51,139,Directed,536,,,1
131,139,Directed,537,,,1
62,139,Directed,538,,,1
43,139,Directed,539,,,1
156,139,Directed,540,,,1
81,139,Directed,541,,,1
78,139,Directed,542,,,1
6,139,Directed,543,,,1
26,147,Directed,544,,,1
70,148,Directed,545,,,1
88,148,Directed,546,,,1
128,148,Directed,547,,,1
136,148,Directed,548,,,1
125,148,Directed,549,,,1
171,148,Directed,550,,,1
129,148,Directed,551,,,1
77,148,Directed,552,,,1
32,148,Directed,553,,,1
102,148,Directed,554,,,1
82,148,Directed,555,,,1
29,148,Directed,556,,,1
69,148,Directed,557,,,1
187,148,Directed,558,,,1
10,148,Directed,559,,,1
15,148,Directed,560,,,1
192,148,Directed,561,,,1
163,148,Directed,562,,,1
12,148,Directed,563,,,1
35,148,Directed,564,,,1
53,148,Directed,565,,,1
110,148,Directed,566,,,1
193,148,Directed,567,,,1
2,148,Directed,568,,,1
76,148,Directed,569,,,1
118,148,Directed,570,,,1
185,148,Directed,571,,,1
18,148,Directed,572,,,1
72,152,Directed,573,,,1
38,152,Directed,574,,,1
59,160,Directed,575,,,1
131,167,Directed,576,,,1
177,172,Directed,577,,,1
1,172,Directed,578,,,1
47,175,Directed,579,,,1
133,175,Directed,580,,,1
20,175,Directed,581,,,1
85,175,Directed,582,,,1
37,175,Directed,583,,,1
64,175,Directed,584,,,1
155,179,Directed,585,,,1
84,180,Directed,586,,,1
197,180,Directed,587,,,1
42,180,Directed,588,,,1
87,180,Directed,589,,,1
89,180,Directed,590,,,1
62,180,Directed,591,,,1
97,180,Directed,592,,,1
158,180,Directed,593,,,1
59,180,Directed,594,,,1
72,180,Directed,595,,,1
73,180,Directed,596,,,1
143,180,Directed,597,,,1
55,180,Directed,598,,,1
150,180,Directed,599,,,1
54,181,Directed,600,,,1
36,181,Directed,601,,,1
47,181,Directed,602,,,1
76,185,Directed,603,,,4
192,185,Directed,604,,,3
148,187,Directed,605,,,1
110,187,Directed,606,,,1
69,187,Directed,607,,,1
161,197,Directed,608,,,2
143,197,Directed,609,,,3
96,197,Directed,610,,,3
139,197,Directed,611,,,2
126,197,Directed,612,,,2
116,197,Directed,613,,,2
153,197,Directed,614,,,3
62,197,Directed,615,,,3
94,197,Directed,616,,,2
25,197,Directed,617,,,3
145,197,Directed,618,,,2
73,197,Directed,619,,,3
14,197,Directed,620,,,2
84,197,Directed,621,,,2
7,197,Directed,622,,,3
173,200,Directed,623,,,1
